,name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
180,E-Ticket,The Lockdown Sessions,2021-10-22,13,5s2ykr2Rzxw02BPXEAoRB2,spotify:track:5s2ykr2Rzxw02BPXEAoRB2,0.00054,0.384,0.946,0.0,0.147,-2.149,0.0654,138.167,0.279,2,198817
181,Finish Line,The Lockdown Sessions,2021-10-22,14,4AhYjOF7Xt7HDGmBAdmDTQ,spotify:track:4AhYjOF7Xt7HDGmBAdmDTQ,0.0756,0.48,0.803,0.0,0.195,-3.415,0.0485,171.79,0.539,4,264846
182,Stolen Car,The Lockdown Sessions,2021-10-22,15,4sP7NjzJnK03otEVLOEo0c,spotify:track:4sP7NjzJnK03otEVLOEo0c,0.00691,0.516,0.762,0.000178,0.241,-4.306,0.0319,139.834,0.226,2,337753
183,I'm Not Gonna Miss You,The Lockdown Sessions,2021-10-22,16,3Q7Wt92n50oEBx1nWAiEJV,spotify:track:3Q7Wt92n50oEBx1nWAiEJV,0.0638,0.35,0.462,0.000453,0.238,-6.433,0.0273,60.016,0.111,1,176554
184,Merry Christmas,The Lockdown Sessions,2021-10-22,17,0GThE0NkD77GRRZGdFGbxJ,spotify:track:0GThE0NkD77GRRZGdFGbxJ,0.241,0.586,0.94,2.4e-06,0.0985,-2.021,0.0352,113.972,0.626,2,208546
185,Cold Heart - PNAU Remix,The Lockdown Sessions (Christmas Edition),2021-10-22,1,1wtR1mDbYZKEQbuDGXfKfp,spotify:track:1wtR1mDbYZKEQbuDGXfKfp,0.0354,0.795,0.8,7.25e-05,0.0915,-6.32,0.0309,116.032,0.934,0,202735
186,Always Love You,The Lockdown Sessions (Christmas Edition),2021-10-22,2,7GKI0LLd5gNOgnqXZGVNGM,spotify:track:7GKI0LLd5gNOgnqXZGVNGM,0.246,0.686,0.651,6.4e-06,0.114,-4.935,0.0408,122.987,0.243,0,257237
187,Learn To Fly,The Lockdown Sessions (Christmas Edition),2021-10-22,3,11j2bC7sWfCID2DU6dh5bV,spotify:track:11j2bC7sWfCID2DU6dh5bV,0.552,0.563,0.537,0.0,0.0655,-6.138,0.0794,173.785,0.658,0,211213
188,After All,The Lockdown Sessions (Christmas Edition),2021-10-22,4,7zGHcJd4Nc8nl2IkuByEuG,spotify:track:7zGHcJd4Nc8nl2IkuByEuG,0.361,0.501,0.556,0.000133,0.115,-5.628,0.0266,82.017,0.165,15,208714
189,Chosen Family,The Lockdown Sessions (Christmas Edition),2021-10-22,5,37icVyQThoZaWX1gXBwDFr,spotify:track:37icVyQThoZaWX1gXBwDFr,0.496,0.497,0.586,0.0,0.0698,-6.985,0.0413,73.016,0.283,5,280381
190,The Pink Phantom,The Lockdown Sessions (Christmas Edition),2021-10-22,6,1ID57FKkpMx89HwyjimriY,spotify:track:1ID57FKkpMx89HwyjimriY,0.539,0.351,0.481,0.000206,0.0609,-8.03,0.0406,64.485,0.465,0,253053
191,It's a sin - global reach mix,The Lockdown Sessions (Christmas Edition),2021-10-22,7,49cLgyWzcKqeE2oSss24yZ,spotify:track:49cLgyWzcKqeE2oSss24yZ,0.0511,0.615,0.84,6.08e-05,0.231,-6.413,0.0362,125.027,0.204,0,284904
192,Nothing Else Matters,The Lockdown Sessions (Christmas Edition),2021-10-22,8,5xwIRm5LbfHHJ7DVcHoILK,spotify:track:5xwIRm5LbfHHJ7DVcHoILK,0.00516,0.452,0.668,1.45e-05,0.112,-5.118,0.0292,142.548,0.142,1,395785
